# binIdx ctxIdx symbol range offset
0 3 0 500 471
1 68 1 270 213
2 68 1 360 132
3 68 0 476 265
4 69 0 480 59
5 69 0 480 118
6 69 0 506 237
7 68 0 348 237
8 69 1 316 94
9 69 0 376 189
10 69 0 436 379
11 68 1 260 146
12 68 0 320 292
13 69 1 300 244
14 69 1 256 145
15 69 1 256 35
16 68 0 322 70
17 69 0 292 140
18 69 0 328 280
19 69 1 316 221
20 68 0 452 443
21 69 1 454 436
22 69 1 480 445
23 69 0 480 410
24 68 1 284 144
25 68 0 378 288
26 69 1 352 172
27 69 1 352 344
28 69 0 334 318
29 68 1 440 378
30 68 1 288 165
31 68 0 354 331
32 69 0 352 306
33 69 1 352 260
34 69 0 352 168
35 68 0 448 337
36 69 1 480 258
37 69 0 480 37
38 69 0 480 74
39 68 0 314 74
40 69 0 372 148
41 69 0 428 297
42 69 1 356 95
43 68 0 480 191
44 69 0 264 191
45 69 1 492 201
46 69 0 276 201
47 64 0 324 24
48 73 1 310 24
49 73 1 299 24
50 73 1 288 24
51 73 1 278 24
52 77 1 474 48
53 81 1 364 48
54 60 0 308 48
55 96 1 286 48
56 134 1 259 48
57 195 0 506 97
58 135 1 430 97
59 196 0 421 97
60 136 1 365 97
61 197 0 356 97
62 137 1 276 97
63 198 0 270 97
64 138 1 434 194
65 199 0 424 194
66 139 1 329 194
67 200 0 320 194
68 140 0 256 5
69 141 1 366 11
70 202 0 357 11
71 142 1 263 11
72 203 0 510 23
73 143 1 375 23
74 204 0 360 23
75 144 1 271 23
76 205 0 258 23
77 145 1 306 46
78 206 0 291 46
79 146 1 392 93
80 207 0 357 93
81 147 1 444 186
82 208 0 398 186
83 148 1 275 186
84 209 0 388 372
85 248 1 264 200
86 252 1 256 128
87 252 1 256 0
88 252 1 256 1
89 252 1 256 3
90 252 1 256 6
91 252 1 266 12
92 252 1 300 24
93 252 1 378 49
94 252 1 500 98
95 252 1 334 98
96 252 1 436 196
97 252 1 306 196
98 252 1 442 392
99 -1 1 442 342
100 -1 1 442 243
101 -1 1 442 44
102 -1 0 442 88
103 -1 0 442 177
104 -1 0 442 355
105 -1 1 442 269
106 -1 1 442 96
107 247 1 356 96
108 253 1 442 193
109 253 1 290 193
110 253 0 400 15
111 -1 0 400 30
112 247 1 319 30
113 254 1 458 61
114 254 1 316 61
115 254 1 470 122
116 254 1 342 122
117 254 1 506 244
118 254 1 390 244
119 254 1 295 244
120 254 0 496 94
121 -1 0 496 189
122 247 1 407 189
123 255 1 317 189
124 255 1 258 189
125 255 1 404 379
126 255 0 308 208
127 -1 1 308 109
128 247 1 257 109
129 256 1 456 219
130 256 1 411 219
131 256 1 374 219
132 256 1 344 219
133 256 1 316 219
134 256 1 294 219
135 256 1 273 219
136 256 1 506 439
137 256 1 475 439
138 256 1 445 439
139 256 0 400 305
140 -1 1 400 210
141 247 1 331 210
142 256 1 294 210
143 256 1 265 210
144 256 1 476 420
145 256 1 433 420
146 256 0 280 183
147 -1 1 280 87
148 247 1 468 175
149 256 1 406 175
150 256 1 355 175
151 256 1 314 175
152 256 1 282 175
153 256 1 504 351
154 256 1 456 351
155 256 1 411 351
156 256 1 374 351
157 256 0 480 125
158 -1 0 480 250
159 247 1 408 250
160 256 1 354 250
161 256 1 311 250
162 256 1 278 250
163 256 0 256 35
164 -1 0 256 70
165 247 1 430 140
166 256 1 364 140
167 256 1 311 140
168 256 1 270 140
169 256 1 462 280
170 256 1 400 280
171 256 1 349 280
172 256 1 308 280
173 256 0 256 32
174 -1 0 256 65
175 247 1 434 131
176 256 1 368 131
177 256 1 315 131
178 256 1 274 131
179 256 1 470 262
180 256 1 408 262
181 256 1 357 262
182 256 1 316 262
183 256 1 284 262
184 256 0 480 139
185 -1 0 480 278
186 247 1 418 278
187 256 1 355 278
188 256 1 305 278
189 256 0 312 102
190 -1 0 312 204
191 247 1 277 204
192 256 1 448 408
193 256 0 340 183
194 -1 1 340 26
195 247 1 299 26
196 256 1 474 53
197 256 1 375 53
198 256 1 306 53
199 256 1 506 106
200 256 1 421 106
201 256 1 352 106
202 256 1 296 106
203 256 1 506 213
204 256 1 437 213
205 256 1 381 213
206 256 1 336 213
207 256 1 293 213
208 256 1 260 213
209 -1 1 260 167
210 -1 1 260 75
211 -1 0 260 151
212 -1 1 260 42
213 -1 0 260 84
214 -1 0 260 168
215 247 1 456 336
216 256 1 403 336
217 256 1 360 336
218 256 0 280 90
219 -1 0 280 181
220 247 1 500 363
221 256 1 431 363
222 256 1 375 363
223 256 0 360 264
224 -1 1 360 168
225 96 1 334 168
226 134 1 303 168
227 195 0 297 168
228 135 1 508 337
229 196 0 499 337
230 136 1 437 337
231 197 0 427 337
232 137 0 360 3
233 138 1 298 3
234 199 0 292 3
235 139 1 460 6
236 200 0 449 6
237 140 1 508 13
238 201 0 496 13
239 141 1 380 13
240 202 0 372 13
241 142 1 283 13
242 203 0 276 13
243 143 1 398 26
244 204 0 381 26
245 144 1 296 26
246 205 0 284 26
247 145 1 368 52
248 206 0 350 52
249 146 1 480 104
250 207 0 441 104
251 147 1 289 104
252 208 0 259 104
253 148 1 356 208
254 209 0 262 208
255 248 1 448 18
256 252 1 313 18
257 252 1 472 37
258 252 1 350 37
259 252 1 265 37
260 252 1 398 74
261 252 1 308 74
262 252 1 498 148
263 252 1 404 148
264 252 1 327 148
265 252 1 265 148
266 252 1 434 297
267 252 1 368 297
268 252 1 315 297
269 -1 1 315 279
270 -1 1 315 244
271 -1 1 315 174
272 -1 1 315 34
273 -1 0 315 68
274 -1 0 315 137
275 -1 0 315 275
276 -1 1 315 236
277 -1 1 315 158
278 -1 1 315 2
279 247 1 286 2
280 253 1 350 4
281 253 1 444 9
282 253 1 300 9
283 253 1 410 19
284 253 1 280 19
285 253 1 390 39
286 253 1 273 39
287 253 1 392 78
288 253 1 287 78
289 253 1 436 157
290 253 1 341 157
291 253 1 265 157
292 253 1 412 315
293 -1 1 412 219
294 -1 1 412 27
295 -1 0 412 54
296 -1 0 412 109
297 -1 0 412 219
298 -1 1 412 26
299 247 1 373 26
300 254 1 284 26
301 254 1 430 53
302 254 1 335 53
303 254 1 259 53
304 254 1 400 106
305 254 1 319 106
306 254 1 266 106
307 254 1 430 213
308 254 1 361 213
309 254 1 305 213
310 254 1 262 213
311 254 1 442 426
312 254 0 448 323
313 -1 1 448 198
314 247 1 405 198
315 255 1 310 198
316 255 1 496 396
317 255 1 397 396
318 255 0 324 322
319 -1 1 324 321
320 247 0 480 442
321 -1 1 480 405
322 247 1 418 405
323 256 0 276 224
324 -1 1 276 172
325 247 1 482 345
326 256 1 378 345
327 256 0 288 159
328 -1 1 288 30
329 247 1 510 61
330 256 1 388 61
331 256 1 288 61
332 256 1 444 122
333 256 1 354 122
334 256 1 282 122
335 256 1 452 244
336 256 1 363 244
337 256 1 301 244
338 256 1 506 489
339 256 0 304 239
340 -1 1 304 175
341 247 1 272 175
342 256 1 432 350
343 256 1 355 350
344 256 0 496 461
345 -1 1 496 426
346 247 1 446 426
347 256 0 360 283
348 -1 1 360 207
349 247 1 325 207
350 256 1 472 415
351 256 0 464 239
352 -1 1 464 15
353 247 1 419 15
354 256 1 302 15
355 256 1 450 30
356 256 1 328 30
357 256 1 486 60
358 256 1 376 60
359 256 1 300 60
360 256 1 482 121
361 256 1 388 121
362 256 1 311 121
363 256 1 260 121
364 256 1 424 243
365 256 1 358 243
366 256 1 305 243
367 -1 1 305 181
368 -1 1 305 58
369 -1 0 305 117
370 -1 0 305 234
371 -1 1 305 163
372 -1 1 305 22
373 247 1 279 22
374 256 1 476 45
375 256 1 411 45
376 256 1 357 45
377 256 1 314 45
378 256 1 281 45
379 256 1 498 90
