# binIdx ctxIdx symbol range offset
0 3 1 384 381
1 6 0 496 482
2 7 0 440 386
3 9 1 468 252
4 10 0 283 252
5 64 0 360 236
6 60 0 304 236
7 88 1 285 236
8 105 1 474 473
9 166 1 264 263
10 228 1 264 260
11 232 1 444 428
12 232 1 338 306
13 232 1 316 252
14 232 1 256 129
15 232 1 256 2
16 232 1 256 4
17 232 1 256 9
18 232 1 256 18
19 232 1 266 37
20 232 1 300 75
21 232 1 378 151
22 232 1 500 302
23 232 1 334 302
24 -1 1 334 271
25 -1 1 334 208
26 -1 1 334 83
27 -1 0 334 166
28 -1 0 334 333
29 -1 1 334 333
30 -1 1 334 332
31 -1 1 334 330
32 4 1 488 483
33 6 0 260 251
34 7 0 308 272
35 9 1 360 218
36 10 0 464 437
37 64 0 332 278
38 60 0 279 278
39 88 0 288 284
40 4 1 444 439
41 6 0 308 296
42 7 0 360 313
43 9 1 488 301
44 10 0 322 301
45 64 0 270 228
46 60 0 458 457
47 87 0 448 442
48 4 1 338 331
49 6 0 320 303
50 7 0 488 422
51 9 1 370 239
52 10 0 508 479
53 64 0 390 333
54 60 0 334 333
55 87 0 296 291
56 4 1 256 250
57 6 0 256 240
58 7 0 444 382
59 9 1 338 214
60 10 0 456 428
61 64 0 432 377
62 60 0 378 377
63 87 0 424 416
64 4 1 394 383
65 6 0 260 242
66 7 0 464 393
67 9 1 432 291
68 10 0 309 291
69 64 0 256 220
70 60 0 442 440
71 87 0 324 316
72 4 1 352 340
73 6 0 488 451
74 7 0 432 359
75 9 1 394 248
76 10 0 277 248
77 64 0 256 198
78 60 0 446 397
79 87 0 380 185
80 4 1 404 370
81 6 0 320 256
82 7 0 334 206
83 9 1 352 96
84 10 0 258 96
85 64 0 260 192
86 60 0 456 384
87 87 0 256 113
88 4 1 281 227
89 6 0 464 258
90 7 0 480 68
91 9 1 480 136
92 10 0 358 136
93 64 0 382 272
94 60 0 345 272
95 87 0 440 149
96 4 1 502 299
97 6 0 432 31
98 7 0 448 62
99 9 1 442 125
100 10 0 342 125
101 64 0 368 251
102 60 0 333 251
103 87 0 488 160
104 4 1 281 160
105 6 0 256 19
106 7 0 256 38
107 9 1 256 76
108 10 0 380 153
109 64 0 460 307
110 60 0 415 307
111 87 0 320 105
112 4 1 404 210
113 6 0 416 32
114 7 0 458 64
115 9 1 506 128
116 10 0 402 128
117 64 0 466 257
118 60 0 423 257
119 87 0 338 7
120 4 1 402 14
121 6 0 384 28
122 7 0 412 57
123 9 1 486 115
124 10 0 387 115
125 64 0 454 231
126 60 0 413 231
127 87 0 374 10
128 4 1 488 20
129 6 0 259 20
130 7 0 286 40
131 9 1 350 80
132 10 0 281 80
133 64 0 352 161
134 60 0 324 161
135 87 0 334 9
136 4 1 420 19
137 6 0 462 38
138 7 0 277 38
139 9 1 344 77
140 10 0 279 77
141 64 0 358 155
142 60 0 331 155
143 87 0 352 0
144 4 1 468 0
