# binIdx ctxIdx symbol range offset
0 3 1 384 374
1 6 0 496 371
2 7 1 386 371
3 8 1 344 287
4 9 1 396 170
5 10 0 472 340
6 64 0 300 36
7 60 0 508 73
8 88 1 477 73
9 105 1 397 73
10 166 0 368 73
11 106 1 269 73
12 167 0 500 146
13 107 1 350 146
14 168 0 313 146
15 108 1 370 292
16 169 0 337 292
17 109 1 270 181
18 170 0 502 362
19 110 1 480 200
20 171 0 432 200
21 111 1 288 200
22 172 0 452 401
23 112 1 300 199
24 173 0 274 199
25 113 1 420 121
26 174 0 372 121
27 114 1 474 242
28 175 0 324 242
29 115 1 316 153
30 176 0 260 153
31 116 1 256 42
32 177 0 374 84
33 117 1 414 169
34 178 0 490 338
35 118 1 432 129
36 179 0 470 259
37 119 1 335 259
38 180 0 284 133
39 228 0 502 267
40 -1 1 502 33
41 229 0 413 33
42 -1 0 413 67
43 230 0 308 67
44 -1 0 308 135
45 231 0 384 270
46 -1 1 384 157
47 231 0 448 314
48 -1 1 448 181
49 231 0 273 181
50 -1 1 273 90
51 231 0 346 181
52 -1 1 346 16
53 231 0 460 32
54 -1 0 460 65
55 231 0 310 65
56 -1 0 310 131
57 231 0 450 262
58 -1 1 450 74
59 231 0 315 74
60 -1 0 315 148
61 231 0 476 296
62 -1 1 476 117
63 231 0 354 117
64 -1 0 354 235
65 231 0 269 235
66 -1 1 269 202
67 231 0 406 405
68 -1 1 406 404
69 231 1 360 353
70 232 1 270 257
71 232 1 464 412
72 232 1 432 329
73 232 1 394 188
74 232 1 416 4
75 232 1 416 8
76 232 1 438 17
77 232 1 502 35
78 232 1 297 35
79 232 1 362 71
80 232 1 454 143
81 232 1 279 143
82 232 1 358 286
83 -1 1 358 215
84 -1 1 358 72
85 -1 0 358 144
86 -1 0 358 288
87 -1 1 358 218
88 -1 1 358 78
89 100 1 337 78
90 149 1 298 78
91 210 0 278 78
92 150 1 454 157
93 211 0 409 157
94 151 1 368 157
95 212 0 283 157
96 258 1 256 5
97 262 1 322 10
98 262 1 424 20
99 262 1 301 20
100 262 1 440 41
101 262 1 329 41
102 262 1 480 83
103 262 1 364 83
104 262 1 284 83
105 262 1 444 166
106 262 1 358 166
107 262 1 289 166
108 262 1 472 333
109 262 1 387 333
110 -1 1 387 279
111 -1 1 387 171
112 -1 0 387 342
113 -1 1 387 298
114 -1 1 387 210
115 -1 1 387 34
116 257 1 318 34
